epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,3333.51,0.87874,0.6569,1.16467,0.87943,0.75177,0.85004,0.56791,1.10294,0.79352,1.42969,0.000761423,0.000761423,0.000761423
100,3366.49,0.86097,0.66576,1.19486,0.82943,0.78901,0.8563,0.58763,1.06982,0.7825,1.42647,0.000756976,0.000756976,0.000756976
101,3414.76,0.85804,0.66082,1.17186,0.85617,0.79255,0.85648,0.5721,1.09039,0.7805,1.43262,0.0007525,0.0007525,0.0007525
102,3447.62,0.85345,0.66769,1.17027,0.86182,0.78512,0.8491,0.56951,1.08978,0.84051,1.44361,0.000747997,0.000747997,0.000747997
103,3480.48,0.85226,0.6834,1.18106,0.86772,0.77305,0.86208,0.58459,1.08544,0.7731,1.44412,0.000743468,0.000743468,0.000743468
104,3513.69,0.87117,0.67604,1.17189,0.86084,0.7695,0.85463,0.58484,1.07929,0.7579,1.43337,0.000738913,0.000738913,0.000738913
105,3546.92,0.85047,0.65609,1.16893,0.81585,0.81694,0.86232,0.58749,1.05519,0.77006,1.42501,0.000734332,0.000734332,0.000734332
106,3579.82,0.87181,0.68412,1.20029,0.83744,0.77837,0.85372,0.58526,1.04138,0.80307,1.41157,0.000729725,0.000729725,0.000729725
107,3612.81,0.83674,0.62965,1.16061,0.82462,0.81738,0.85377,0.57402,1.08691,0.79824,1.43574,0.000725094,0.000725094,0.000725094
108,3645.52,0.87246,0.66147,1.18943,0.85934,0.76241,0.84841,0.56696,1.10683,0.79661,1.46826,0.000720439,0.000720439,0.000720439
109,3678.54,0.85066,0.64528,1.18192,0.85669,0.78369,0.85915,0.59045,1.05927,0.79454,1.42744,0.000715761,0.000715761,0.000715761
110,3711.63,0.84699,0.64715,1.17021,0.82717,0.78917,0.85825,0.58842,1.06792,0.77458,1.42412,0.000711059,0.000711059,0.000711059
111,3757.61,0.84971,0.63049,1.16012,0.8543,0.81206,0.86325,0.58349,1.08273,0.76629,1.43945,0.000706335,0.000706335,0.000706335
112,3791.96,0.85573,0.66706,1.18719,0.83933,0.8156,0.86468,0.58356,1.06324,0.77783,1.40851,0.000701588,0.000701588,0.000701588
113,3824.92,0.84737,0.63578,1.14974,0.86492,0.7766,0.84344,0.55888,1.11942,0.8342,1.45293,0.00069682,0.00069682,0.00069682
114,3857.8,0.85347,0.65173,1.17132,0.85469,0.7766,0.8399,0.56947,1.0809,0.8429,1.42153,0.000692031,0.000692031,0.000692031
115,3890.88,0.83659,0.64982,1.17223,0.87441,0.77772,0.85219,0.59031,1.06272,0.75211,1.42536,0.000687222,0.000687222,0.000687222
116,3923.87,0.8394,0.63923,1.1602,0.86363,0.79724,0.86148,0.58485,1.07095,0.77372,1.43119,0.000682392,0.000682392,0.000682392
117,3956.76,0.84263,0.63636,1.18013,0.82702,0.79686,0.85246,0.59302,1.0433,0.7624,1.40391,0.000677543,0.000677543,0.000677543
118,3989.66,0.82169,0.61955,1.1446,0.88186,0.7766,0.85972,0.57612,1.07649,0.74801,1.43664,0.000672675,0.000672675,0.000672675
119,4022.49,0.79137,0.59315,1.12446,0.87709,0.78191,0.86934,0.58707,1.03644,0.75084,1.41551,0.000667789,0.000667789,0.000667789
120,4055.63,0.82749,0.60461,1.14066,0.8418,0.80192,0.86384,0.58819,1.06002,0.75664,1.4398,0.000662885,0.000662885,0.000662885
121,4088.65,0.79666,0.6051,1.13362,0.84754,0.78852,0.85691,0.59044,1.03871,0.76359,1.42412,0.000657963,0.000657963,0.000657963
122,4121.73,0.8202,0.61922,1.14298,0.8355,0.79255,0.8545,0.58434,1.03822,0.77429,1.39816,0.000653025,0.000653025,0.000653025
123,4154.7,0.79759,0.61211,1.1396,0.83729,0.80319,0.8493,0.59178,1.02675,0.77937,1.39279,0.000648071,0.000648071,0.000648071
124,4187.45,0.78388,0.58324,1.12348,0.8517,0.75709,0.8393,0.56925,1.06025,0.7992,1.42129,0.000643101,0.000643101,0.000643101
125,4220.57,0.82377,0.61887,1.1476,0.79278,0.81402,0.84776,0.57862,1.06904,0.7729,1.41595,0.000638115,0.000638115,0.000638115
126,4253.67,0.80341,0.603,1.12634,0.85172,0.79078,0.85793,0.59809,1.02839,0.76212,1.39592,0.000633115,0.000633115,0.000633115
